ID,NU_NOTA_LC
0,502.9939139654711
1,584.1845014227358
2,515.2794293083591
3,463.5623145930443
4,521.8209350752998
5,571.6965528650021
6,497.80617089920196
7,475.05867225029925
8,490.7971212772986
9,614.7021044847038
10,606.3333531460255
11,575.461694868523
12,463.11472304615194
13,599.5366331472676
14,449.45659849109455
15,466.6435481887588
16,620.8115835950973
17,603.2899076702781
18,535.9732907336117
19,522.5034225864457
20,498.2199517777112
21,592.1770851979493
22,570.9234229973331
23,463.6649334103117
24,472.6903319591172
25,568.4334724138207
26,436.64273035277114
27,536.158173078795
28,446.63229755500873
29,467.2394052490425
30,522.8775142856671
31,613.3321834827814
32,581.319881214544
33,555.5295725609634
34,548.9900808594828
35,462.2424964835917
36,486.0271237731584
37,513.9744984764488
38,521.0781939089035
39,503.22023124590476
40,484.85145218259305
41,534.9052706111272
42,536.8285496468825
43,451.3500557341622
44,649.53552653623
45,443.7681218238064
46,485.25870738330815
47,470.13275943719196
48,449.98634258066244
49,535.2404342731088
50,466.9893225735056
51,464.4078425572612
52,513.6830471118317
53,537.9562051186792
54,563.1381186539925
55,569.561171366013
56,479.8723123248223
57,522.7675898441557
58,540.7525696623858
59,609.6407054385459
60,507.34896869117875
61,464.87610600539875
62,451.8373795365955
63,527.6193930482561
64,534.3028964808145
65,439.6295948158006
66,528.3397839579366
67,459.1802956287303
68,458.3991452753008
69,524.7824455690629
70,542.3787679840227
71,594.0658389268765
72,509.0150308761509
73,508.6507814689709
74,587.1896584128449
75,487.22048215503673
76,501.84986946161786
77,479.0591717880242
78,573.0857574535585
79,586.1489179778719
80,505.68187122603865
81,562.0462435274208
82,479.65624592525063
83,476.34188457344527
84,482.7890562956719
85,536.7923080399542
86,492.22242692327865
87,524.4539063064396
88,464.01799365588033
89,484.3887721122239
90,491.0487705312241
91,503.61957251126563
92,566.0577796079581
93,475.20777676492384
94,580.951843946305
95,609.7333264660267
96,515.2149296592187
97,471.081333032856
98,510.5509785829054
99,528.0279971630503
100,605.4578938868563
101,514.7616936783581
102,540.1049861724266
103,606.5719574860796
104,526.8469287021701
105,635.8750149306484
106,626.9866942095532
107,592.1623245857927
108,471.4550792784473
109,636.8676539213245
110,551.3124657600586
111,480.35332365564744
112,516.986420026712
113,628.1499706392033
114,482.1331738597471
115,489.7489396622958
116,503.77450092690293
117,533.3749405206286
118,600.3601042174487
119,554.4931582934262
120,529.7893409226624
121,500.7377481264803
122,500.6237955896877
123,618.286963410588
124,501.90508735086695
125,578.2876980355529
126,495.7453991888413
127,486.0235486315662
128,522.6743661343344
129,539.9458260183005
130,529.079293599023
131,467.9449716471018
132,579.320571625608
133,494.5462024436811
134,509.96297568052506
135,565.2474556701004
136,591.9729054645811
137,511.8583198783249
138,461.48410463715
139,477.88845949361166
140,497.30323135206044
141,493.27107815424375
142,497.7112304200297
143,519.9187994523379
144,532.6918234746671
145,604.3132319368551
146,679.8538533518208
147,565.64825225705
148,500.7252557351599
